Solve V2
n_odds	isEulerian	listPairs	listPairsCombinationsBase	modifyGraph	hierholzer	total time	total distance	path
16	536	236012	1329001266	3823	12981	1329254618	37	P: 0 1 2 6 7 12 13 18 19 17 19 18 16 14 16 17 15 14 9 8 10 12 13 11 10 11 9 8 3 1 2 4 3 4 7 6 5 0
16	522	248513	1324686277	3499	12872	1324951683	37	P: 0 1 2 6 7 12 13 18 19 17 19 18 16 14 16 17 15 14 9 8 10 12 13 11 10 11 9 8 3 1 2 4 3 4 7 6 5 0
16	500	246799	1314383196	3783	12568	1314646846	37	P: 0 1 2 6 7 12 13 18 19 17 19 18 16 14 16 17 15 14 9 8 10 12 13 11 10 11 9 8 3 1 2 4 3 4 7 6 5 0
16	484	240740	1320452056	3592	12637	1320709509	37	P: 0 1 2 6 7 12 13 18 19 17 19 18 16 14 16 17 15 14 9 8 10 12 13 11 10 11 9 8 3 1 2 4 3 4 7 6 5 0
16	512	245245	1322961348	3749	13090	1323223944	37	P: 0 1 2 6 7 12 13 18 19 17 19 18 16 14 16 17 15 14 9 8 10 12 13 11 10 11 9 8 3 1 2 4 3 4 7 6 5 0
16	600	242830	1325867545	4264	12882	1326128121	37	P: 0 1 2 6 7 12 13 18 19 17 19 18 16 14 16 17 15 14 9 8 10 12 13 11 10 11 9 8 3 1 2 4 3 4 7 6 5 0
16	468	245248	1328205176	3706	12975	1328467573	37	P: 0 1 2 6 7 12 13 18 19 17 19 18 16 14 16 17 15 14 9 8 10 12 13 11 10 11 9 8 3 1 2 4 3 4 7 6 5 0
16	509	246839	1326871964	3636	12710	1327135658	37	P: 0 1 2 6 7 12 13 18 19 17 19 18 16 14 16 17 15 14 9 8 10 12 13 11 10 11 9 8 3 1 2 4 3 4 7 6 5 0
16	478	242322	1323683994	3478	12724	1323942996	37	P: 0 1 2 6 7 12 13 18 19 17 19 18 16 14 16 17 15 14 9 8 10 12 13 11 10 11 9 8 3 1 2 4 3 4 7 6 5 0
16	478	239451	1312718582	3391	12375	1312974277	37	P: 0 1 2 6 7 12 13 18 19 17 19 18 16 14 16 17 15 14 9 8 10 12 13 11 10 11 9 8 3 1 2 4 3 4 7 6 5 0
Solve V2
n_odds	isEulerian	listPairs	listPairsCombinationsBase	modifyGraph	hierholzer	total time	total distance	path
16	993	431265	1311938540	3415	12302	1312386515	37	P: 0 1 2 6 7 12 13 18 19 17 19 18 16 14 16 17 15 14 9 8 10 12 13 11 10 11 9 8 3 1 2 4 3 4 7 6 5 0
16	473	238281	1311656917	3284	12449	1311911404	37	P: 0 1 2 6 7 12 13 18 19 17 19 18 16 14 16 17 15 14 9 8 10 12 13 11 10 11 9 8 3 1 2 4 3 4 7 6 5 0
16	465	237423	1303603901	4047	12620	1303858456	37	P: 0 1 2 6 7 12 13 18 19 17 19 18 16 14 16 17 15 14 9 8 10 12 13 11 10 11 9 8 3 1 2 4 3 4 7 6 5 0
16	488	245403	1305776930	3382	12508	1306038711	37	P: 0 1 2 6 7 12 13 18 19 17 19 18 16 14 16 17 15 14 9 8 10 12 13 11 10 11 9 8 3 1 2 4 3 4 7 6 5 0
16	492	272493	1312725847	3805	12396	1313015033	37	P: 0 1 2 6 7 12 13 18 19 17 19 18 16 14 16 17 15 14 9 8 10 12 13 11 10 11 9 8 3 1 2 4 3 4 7 6 5 0
16	590	237862	1312099339	3861	12551	1312354203	37	P: 0 1 2 6 7 12 13 18 19 17 19 18 16 14 16 17 15 14 9 8 10 12 13 11 10 11 9 8 3 1 2 4 3 4 7 6 5 0
16	466	236716	1315790880	3857	12769	1316044688	37	P: 0 1 2 6 7 12 13 18 19 17 19 18 16 14 16 17 15 14 9 8 10 12 13 11 10 11 9 8 3 1 2 4 3 4 7 6 5 0
16	466	240003	1315465789	3820	12297	1315722375	37	P: 0 1 2 6 7 12 13 18 19 17 19 18 16 14 16 17 15 14 9 8 10 12 13 11 10 11 9 8 3 1 2 4 3 4 7 6 5 0
