Solve V2
n_odds	isEulerian	listPairs	listPairsCombinationsBase	modifyGraph	hierholzer	total time	total distance	path
10	852	119796	1243332	877	7897	1372754	25	P: 0 1 2 6 7 12 13 11 9 8 10 12 10 11 10 8 3 1 2 4 3 4 7 6 5 0
10	577	109937	127818	716	6829	245877	25	P: 0 1 2 6 7 12 13 11 9 8 10 12 10 11 10 8 3 1 2 4 3 4 7 6 5 0
10	474	103832	123908	937	6341	235492	25	P: 0 1 2 6 7 12 13 11 9 8 10 11 10 12 7 4 3 8 3 1 2 4 2 6 5 0
10	428	101453	122014	935	6425	231255	25	P: 0 1 2 6 7 12 13 11 9 8 10 12 10 11 10 8 3 1 3 4 2 4 7 6 5 0
10	381	100221	120662	965	6332	228561	25	P: 0 1 2 6 7 12 13 11 9 8 10 11 10 12 7 4 3 8 3 1 2 4 2 6 5 0
10	354	99984	123993	788	6141	231260	25	P: 0 1 2 6 7 12 13 11 9 8 10 12 10 11 10 8 3 1 2 4 3 4 7 6 5 0
10	390	98590	121159	1038	5953	227130	25	P: 0 1 2 6 7 12 13 11 9 8 10 11 10 12 7 4 3 8 3 1 3 4 2 6 5 0
10	364	98037	126466	903	5953	231723	25	P: 0 1 2 6 7 12 13 11 9 8 10 11 10 12 7 4 3 8 3 1 2 4 2 6 5 0
10	386	99239	121454	1086	5805	227970	25	P: 0 1 2 6 7 12 13 11 9 8 10 11 10 12 7 4 3 8 3 1 2 4 2 6 5 0
10	351	97875	119334	886	5895	224341	25	P: 0 1 2 6 7 12 13 11 9 8 10 11 10 12 7 4 3 8 3 1 2 4 2 6 5 0
Solve V2
n_odds	isEulerian	listPairs	listPairsCombinationsBase	modifyGraph	hierholzer	total time	total distance	path
10	520	74299	541743	860	5147	622569	25	P: 0 1 2 6 7 12 13 11 9 8 10 12 10 11 10 8 3 1 3 4 2 4 7 6 5 0
10	406	94879	85961	1085	6056	188387	25	P: 0 1 2 6 7 12 13 11 9 8 10 11 10 12 7 4 3 8 3 1 2 4 2 6 5 0
10	502	107834	82981	1170	6136	198623	25	P: 0 1 2 6 7 12 13 11 9 8 10 11 10 12 7 4 3 8 3 1 2 4 2 6 5 0
10	542	112381	84676	1055	6554	205208	25	P: 0 1 2 6 7 12 13 11 9 8 10 12 10 11 10 8 3 1 3 4 2 4 7 6 5 0
10	536	109351	80911	1064	6327	198189	25	P: 0 1 2 6 7 12 13 11 9 8 10 12 10 11 10 8 3 1 3 4 2 4 7 6 5 0
10	536	120045	81868	1066	6729	210244	25	P: 0 1 2 6 7 12 13 11 9 8 10 11 10 12 7 4 3 8 3 1 2 4 2 6 5 0
10	543	124939	81974	852	6219	214527	25	P: 0 1 2 6 7 12 13 11 9 8 10 12 10 11 10 8 3 1 2 4 3 4 7 6 5 0
10	520	119416	80989	990	6657	208572	25	P: 0 1 2 6 7 12 13 11 9 8 10 12 10 11 10 8 3 1 3 4 2 4 7 6 5 0
10	530	121858	84608	722	4662	212380	25	P: 0 1 2 6 7 12 13 11 9 8 10 12 10 11 10 8 3 1 2 4 3 4 7 6 5 0
10	352	69660	82817	601	4228	157658	25	P: 0 1 2 6 7 12 13 11 9 8 10 12 10 11 10 8 3 1 2 4 3 4 7 6 5 0
10	270	68222	80663	701	5253	155109	25	P: 0 1 2 6 7 12 13 11 9 8 10 12 10 11 10 8 3 1 3 4 2 4 7 6 5 0
10	292	67846	91865	627	4252	164882	25	P: 0 1 2 6 7 12 13 11 9 8 10 11 10 12 7 4 3 8 3 1 2 4 2 6 5 0
10	275	67348	82994	539	4002	155158	25	P: 0 1 2 6 7 12 13 11 9 8 10 11 10 12 7 4 3 8 3 1 2 4 2 6 5 0
10	271	66758	87963	752	4078	159822	25	P: 0 1 2 6 7 12 13 11 9 8 10 11 10 12 7 4 3 8 3 1 3 4 2 6 5 0
10	287	66217	80792	587	4074	151957	25	P: 0 1 2 6 7 12 13 11 9 8 10 12 10 11 10 8 3 1 3 4 2 4 7 6 5 0
10	268	66814	82610	611	3848	154151	25	P: 0 1 2 6 7 12 13 11 9 8 10 12 10 11 10 8 3 1 3 4 2 4 7 6 5 0
10	246	65954	82655	574	4162	153591	25	P: 0 1 2 6 7 12 13 11 9 8 10 11 10 12 7 4 3 8 3 1 2 4 2 6 5 0
10	265	66045	81137	591	3924	151962	25	P: 0 1 2 6 7 12 13 11 9 8 10 11 10 12 7 4 3 8 3 1 2 4 2 6 5 0
10	267	65407	82722	595	3834	152825	25	P: 0 1 2 6 7 12 13 11 9 8 10 11 10 12 7 4 3 8 3 1 2 4 2 6 5 0
10	224	65578	82917	501	3915	153135	25	P: 0 1 2 6 7 12 13 11 9 8 10 11 10 12 7 4 3 8 3 1 2 4 2 6 5 0
