n_odds	isEulerian	listPairs	time_tmp	time_for	listPairsCombinationsBase	modifyGraph	hierholzer	total_time	total_distance	path
6	507	22056	11728576	14780	11746558	507	6854	11776482	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	596	21239	8276788	13849	8294793	497	6413	8323538	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	515	21703	2441668	13129	2457388	457	5417	2485480	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	479	21546	211288	13236	226865	2742	6315	257947	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	845	22459	9928384	14902	9945660	503	5269	9974736	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	487	22075	6287989	13712	6304719	494	5987	6333762	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	685	22255	11722051	15283	11740359	496	6579	11770374	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	525	21886	882817	13698	899020	410	5709	927550	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	539	21642	710863	13327	726450	423	5162	754216	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	692	21554	210583	14328	227540	452	5374	255612	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	482	22594	207046	14306	224237	886	5277	253476	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	497	21880	6967051	12957	6983203	510	7390	7013480	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	692	22407	2479200	13512	2495579	436	5800	2524914	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	452	22109	11745242	14544	11762694	504	6213	11791972	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	422	21717	9933400	13079	9949182	407	7326	9979054	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	490	21644	6191371	13397	6207381	393	5984	6235892	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	477	21412	7280901	14988	7298520	447	5094	7325950	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	451	22124	5583444	13541	5599807	521	6221	5629124	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	514	22836	940156	14029	956812	435	5970	986567	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	487	22374	6866402	14260	6882825	421	5634	6911741	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	480	21991	8408842	13649	8425177	395	5655	8453698	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	506	21062	9075892	13880	9092336	437	5934	9120275	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	503	21245	7635464	13307	7652012	501	6770	7681031	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	505	22476	1687909	13863	1704509	443	5717	1733650	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	510	21997	11757593	16000	11776837	514	6784	11806642	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	527	21977	218623	13538	234644	453	5215	262816	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	531	21497	230913	14473	247932	444	5236	275640	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	502	22636	552886	12441	567783	437	5496	596854	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	493	21622	5747102	14505	5764220	412	9884	5796631	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	527	22126	5030302	13787	5046770	456	5423	5075302	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	451	21042	1734104	14107	1750757	420	5425	1778095	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	467	22011	1544130	13339	1559752	474	5339	1588043	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	576	21322	1993256	13561	2009706	443	6357	2038404	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	511	21117	10512962	13560	10529227	423	5898	10557176	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	461	22236	11991231	14960	12009476	545	6634	12039352	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	524	21922	210838	13466	226717	460	5165	254788	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	490	21820	226479	14894	243867	431	5148	271756	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	546	21724	208965	14353	225845	461	5202	253778	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	522	22330	11200066	13467	11216182	745	5915	11245694	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	487	21022	1105040	12853	1120352	437	5424	1147722	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	504	21455	2931052	14234	2947906	451	5740	2976056	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	524	21857	10741326	14878	10758789	488	5630	10787288	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	555	21413	6148408	13542	6165263	549	7443	6195223	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	632	21251	9237065	14485	9255572	623	7772	9285850	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	503	22901	1606286	12566	1621528	429	5641	1651002	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	502	21740	219217	13071	234756	406	5416	262820	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	530	21836	4143851	13539	4160094	477	5888	4188825	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	484	21309	3051101	13229	3066830	463	5633	3094719	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	550	22414	12033911	14587	12051692	479	6803	12081938	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	504	23042	5181723	15305	5199771	462	5572	5229351	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
