Solve V2
n_odds	isEulerian	listPairs	listPairsCombinationsBase	modifyGraph	hierholzer	total time	total distance	path
6	483	22067	93295	478	3836	120159	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	281	30212	3547	287	2691	37018	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	138	15607	3454	301	2248	21748	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	94	14540	2927	230	2004	19795	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	101	14233	2874	218	1976	19402	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	89	14162	3097	204	1978	19530	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	94	14008	3124	202	1953	19381	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	94	14091	2858	223	1909	19175	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	94	13869	3000	187	1891	19041	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	94	13886	2873	215	1901	18969	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
Solve V2
n_odds	isEulerian	listPairs	listPairsCombinationsBase	modifyGraph	hierholzer	total time	total distance	path
6	2041	101282	238424	1763	14219	357729	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	1157	75761	16550	1134	11482	106084	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	725	67172	15109	1063	9861	93930	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	495	63425	14091	726	9351	88088	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	481	62498	14912	730	8626	87247	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	443	61688	13823	654	8393	85001	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	414	60407	13589	640	8244	83294	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	416	60759	13679	760	8222	83836	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	416	60683	13544	810	8195	83648	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	412	60522	13353	1170	8184	83641	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	449	60623	13966	816	8158	84012	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	413	60003	13611	855	8327	83209	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	412	60102	13076	1051	8130	82771	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	463	60023	12471	844	8215	82016	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	437	60253	14479	945	8191	84305	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	412	60778	13310	846	8148	83494	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	420	60389	12313	707	8301	82130	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	419	59946	13855	845	8180	83245	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	408	59669	14121	935	8343	83476	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
6	413	59431	12885	920	8266	81915	16	P: 0 5 9 8 0 1 2 6 5 6 7 4 2 4 3 1 0
