Solve V2
n_odds	isEulerian	listPairs	listPairsCombinationsBase	modifyGraph	hierholzer	total time	total distance	path
10	528	76582	248426	655	4876	331067	25	P: 0 1 2 6 7 12 13 11 9 8 10 12 10 11 10 8 3 1 2 4 3 4 7 6 5 0
10	397	70224	184063	501	4443	259628	25	P: 0 1 2 6 7 12 13 11 9 8 10 12 10 11 10 8 3 1 3 4 2 4 7 6 5 0
10	337	66699	182191	486	4159	253872	25	P: 0 1 2 6 7 12 13 11 9 8 10 12 10 11 10 8 3 1 3 4 2 4 7 6 5 0
10	242	66624	180773	490	3839	251968	25	P: 0 1 2 6 7 12 13 11 9 8 10 12 10 11 10 8 3 1 3 4 2 4 7 6 5 0
10	243	66325	180434	399	3811	251212	25	P: 0 1 2 6 7 12 13 11 9 8 10 12 10 11 10 8 3 1 3 4 2 4 7 6 5 0
10	235	65772	181221	449	3823	251500	25	P: 0 1 2 6 7 12 13 11 9 8 10 12 10 11 10 8 3 1 3 4 2 4 7 6 5 0
10	235	65150	180033	456	3793	249667	25	P: 0 1 2 6 7 12 13 11 9 8 10 12 10 11 10 8 3 1 3 4 2 4 7 6 5 0
10	242	65053	179745	410	3876	249326	25	P: 0 1 2 6 7 12 13 11 9 8 10 12 10 11 10 8 3 1 3 4 2 4 7 6 5 0
10	239	65325	181211	455	3887	251117	25	P: 0 1 2 6 7 12 13 11 9 8 10 12 10 11 10 8 3 1 3 4 2 4 7 6 5 0
10	264	64758	180483	495	3783	249783	25	P: 0 1 2 6 7 12 13 11 9 8 10 12 10 11 10 8 3 1 3 4 2 4 7 6 5 0
Solve V2
n_odds	isEulerian	listPairs	listPairsCombinationsBase	modifyGraph	hierholzer	total time	total distance	path
10	2333	324579	1000402	2865	20988	1351167	25	P: 0 1 2 6 7 12 13 11 9 8 10 12 10 11 10 8 3 1 2 4 3 4 7 6 5 0
10	1596	295580	772929	2028	19478	1091611	25	P: 0 1 2 6 7 12 13 11 9 8 10 12 10 11 10 8 3 1 3 4 2 4 7 6 5 0
10	1561	283646	765737	2250	18256	1071450	25	P: 0 1 2 6 7 12 13 11 9 8 10 12 10 11 10 8 3 1 3 4 2 4 7 6 5 0
10	1225	276746	763275	2097	17604	1060947	25	P: 0 1 2 6 7 12 13 11 9 8 10 12 10 11 10 8 3 1 3 4 2 4 7 6 5 0
10	1238	227553	224284	452	3979	457506	25	P: 0 1 2 6 7 12 13 11 9 8 10 12 10 11 10 8 3 1 3 4 2 4 7 6 5 0
10	262	62612	173104	473	3768	240219	25	P: 0 1 2 6 7 12 13 11 9 8 10 12 10 11 10 8 3 1 3 4 2 4 7 6 5 0
10	232	61982	171927	507	3744	238392	25	P: 0 1 2 6 7 12 13 11 9 8 10 12 10 11 10 8 3 1 3 4 2 4 7 6 5 0
10	256	62023	171916	425	3725	238345	25	P: 0 1 2 6 7 12 13 11 9 8 10 12 10 11 10 8 3 1 3 4 2 4 7 6 5 0
10	233	61577	172851	403	3699	238763	25	P: 0 1 2 6 7 12 13 11 9 8 10 12 10 11 10 8 3 1 3 4 2 4 7 6 5 0
10	253	61948	172530	421	3660	238812	25	P: 0 1 2 6 7 12 13 11 9 8 10 12 10 11 10 8 3 1 3 4 2 4 7 6 5 0
10	238	61862	172181	460	3683	238424	25	P: 0 1 2 6 7 12 13 11 9 8 10 12 10 11 10 8 3 1 3 4 2 4 7 6 5 0
10	226	61127	171458	442	3564	236817	25	P: 0 1 2 6 7 12 13 11 9 8 10 12 10 11 10 8 3 1 3 4 2 4 7 6 5 0
10	245	60919	173139	456	3633	238392	25	P: 0 1 2 6 7 12 13 11 9 8 10 12 10 11 10 8 3 1 3 4 2 4 7 6 5 0
10	228	61655	172485	437	3547	238352	25	P: 0 1 2 6 7 12 13 11 9 8 10 12 10 11 10 8 3 1 3 4 2 4 7 6 5 0
10	219	61350	174064	402	3686	239721	25	P: 0 1 2 6 7 12 13 11 9 8 10 12 10 11 10 8 3 1 3 4 2 4 7 6 5 0
10	217	61067	173588	371	3740	238983	25	P: 0 1 2 6 7 12 13 11 9 8 10 12 10 11 10 8 3 1 3 4 2 4 7 6 5 0
10	206	61716	174055	456	3746	240179	25	P: 0 1 2 6 7 12 13 11 9 8 10 12 10 11 10 8 3 1 3 4 2 4 7 6 5 0
10	237	61754	173702	441	3709	239843	25	P: 0 1 2 6 7 12 13 11 9 8 10 12 10 11 10 8 3 1 3 4 2 4 7 6 5 0
10	226	61868	172531	421	3610	238656	25	P: 0 1 2 6 7 12 13 11 9 8 10 12 10 11 10 8 3 1 3 4 2 4 7 6 5 0
10	249	61173	173854	420	3749	239445	25	P: 0 1 2 6 7 12 13 11 9 8 10 12 10 11 10 8 3 1 3 4 2 4 7 6 5 0
